p,area
"0,08712902714",Bratislava
"0,08712902714",Malacky
"0,08712902714",Senec
"0,08712902714",Pezinok
"0,08904109589",Trnava
"0,08904109589",Piešťany
"0,08904109589",Hlohovec
"0,01820689655",Dunajská Streda
"0,1555555556",Galanta
"0,2025",Skalica
"0,06720321932",Trenčín
"0,06720321932",Myjava
"0,06720321932",Bánovce nad Bebravou
"0,06720321932",Nové Mesto nad Váhom
"0,1218543046",Považská Bystrica
"0,1218543046",Považská Bystrica
"0,1218543046",Púchov
"0,1218543046",Ilava
"0,3862559242",Prievidza
"0,3862559242",Partizánske
"0,07165809769",Nitra
"0,07165809769",Zlaté Moravce
"0,07165809769",Šaľa
"0,1166666667",Topoľčany
"0,2283333333",Nové Zámky
"0,02654320988",Komárno
"0,1025641026",Levice
"0,1666666667",Žilina
"0,1666666667",Bytča
"0,09052631579",Čadca
"0,09052631579",Kysucké Nové Mesto
"0,4284444444",Námestovo
"0,4284444444",Tvrdošín
"0,4284444444",Dolný Kubín
"0,1226666667",Martin
"0,1226666667",Turčianske Teplice
"0,1751633987",Liptovský Mikuláš
"0,1751633987",Ružomberok
"0,09657142857",Banská Bystrica
"0,09657142857",Brezno
"0,1060606061",Lučenec
"0,1060606061",Poltár
"0,5533333333",Veľký Krtíš
"0,0619047619",Rimavská Sobota
"0,0619047619",Revúca
"0,0619047619",Zvolen
"0,0619047619",Detva
"0,0619047619",Krupina
"0,392",Žiar nad Hronom
"0,392",Žarnovica
"0,392",Banská Štiavnica
"0,2302631579",Kežmarok
"0,2302631579",Poprad
"0,2302631579",Levoča
"0,07478991597",Prešov
"0,07478991597",Sabinov
"0,4584615385",Bardejov
"0,1818181818",Vranov
"0,26875",Svidník
"0,3323529412",Humenné
"0,3323529412",Snina
"0,3323529412",Medzilaborce
"0,03680555556",Stará Ľubovňa
"0,1088372093",Košice
"0,1088372093",Košice - okolie
"0,1626666667",Michalovce
"0,04166666667",Rožňava
"0,1363636364",Spišská Nová Ves
"0,1363636364",Gelnica
"0,66875",Trebišov